stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
65,364,Greenwood St at 127 Greenwood,,42.22713,-71.79297,,,,,,0
66,365,Greenwood St at Tatman,,42.228625,-71.792906,,,,,,0
67,366,Greenwood St at Kosta,,42.230063,-71.793098,,,,,,0
68,367,Greenwood St at Ekman,,42.231263,-71.793526,,,,,,0
69,42,Blackstone River Rd at Whipple,,42.232423,-71.794376,,,,,,0
70,43,Blackstone River Rd at Falmouth,,42.233916,-71.795521,,,,,,0
71,44,Blackstone River Rd at McKeon,,42.234954,-71.796158,,,,,,0
72,1145,Route 146 + Walmart,,42.234002,-71.790407,,,,,,0
73,1144,Walmart ParKing Lot,,42.231748,-71.789958,,,,,,0
74,904,Providence St + Millbury St,,42.23797,-71.79208,,,,,,0
75,905,Providence St + Doane St,,42.2401,-71.79161,,,,,,0
76,896,Providence St + Astrid Ave,,42.240592,-71.791413,,,,,,0
77,1051,Upsala St at Providence,,42.241415,-71.791829,,,,,,0
78,1052,Upsala St at Esther,,42.241785,-71.793463,,,,,,0
79,1053,Upsala St at Stockton,,42.242101,-71.794872,,,,,,0
80,1054,Upsala St at Vernon,,42.242635,-71.797135,,,,,,0
81,1068,Vernon St at Ames,,42.243428,-71.796838,,,,,,0
82,1069,Vernon St at Windham,,42.244718,-71.796086,,,,,,0
84,1071,Vernon St at Syme,,42.246283,-71.794886,,,,,,0
87,1075,Vernon St at Suffield,,42.249763,-71.794735,,,,,,0
89,1263,Vernon St at Dorchester St,,42.251456,-71.79537,,,,,,0
90,1077,Vernon St at Pattison,,42.25245,-71.796055,,,,,,0
91,1078,Vernon St at Jefferson,,42.253546,-71.796848,,,,,,0
92,334,Green St at Harding,,42.255771,-71.797841,,,,,,0
93,335,Green St at Harrison,,42.256996,-71.79793,,,,,,0
94,336,Green St at Goddard,,42.258156,-71.798056,,,,,,0
95,242,Foster St + Major Taylor Blvd,,42.263406,-71.7968,,,,,,0
96,239,FOSTER ST + WALDO ST,,42.264797,-71.800535,,,,,,0
99,330,Green St at Temple,,42.259301,-71.798248,,,,,,0
100,332,Green St at Gold,,42.25727,-71.79807,,,,,,0
101,333,Green St at Madison,,42.255704,-71.798152,,,,,,0
102,1056,Vernon St at Pattison,,42.252507,-71.796218,,,,,,0
103,1057,Vernon St at Richland,,42.251138,-71.795317,,,,,,0
104,1058,Vernon St at Suffield,,42.250153,-71.794878,,,,,,0
105,1059,Vernon St at Seymour,,42.249128,-71.794751,,,,,,0
106,1060,Vernon St at Alpine,,42.248221,-71.794726,,,,,,0
107,1061,Vernon St at View,,42.24703,-71.794783,,,,,,0
109,1063,Vernon St at Euclid,,42.245568,-71.795481,,,,,,0
110,1064,Vernon St at Windham,,42.244925,-71.795998,,,,,,0
112,1066,Vernon St at Cargill,,42.243668,-71.796896,,,,,,0
113,1067,Vernon St at Upsala,,42.242706,-71.797341,,,,,,0
115,1239,Upsala Street Apartments,,42.241961,-71.794984,,,,,,0
116,1049,Upsala St at Esther,,42.241646,-71.793577,,,,,,0
117,1050,Upsala St at Providence,,42.241236,-71.791628,,,,,,0
119,884,Providence St + Doame St,,42.2401,-71.79173,,,,,,0
120,885,Providence St + Millbury St,,42.238,-71.79221,,,,,,0
121,38,Blackstone River Rd at McKeon,,42.234915,-71.79631,,,,,,0
122,40,Blackstone River Rd at Falmouth,,42.233559,-71.795425,,,,,,0
123,41,Blackstone River Rd at Whipple,,42.232157,-71.794459,,,,,,0
124,338,Greenwood St at Ekman,,42.231166,-71.793723,,,,,,0
125,339,Greenwood St at Kosta,,42.229598,-71.793192,,,,,,0
126,340,Greenwood St at Tatman,,42.228522,-71.793036,,,,,,0
127,341,Greenwood St at 137 Greenwood,,42.227201,-71.793058,,,,,,0
128,342,Greenwood St at 159 Greenwood,,42.226088,-71.79371,,,,,,0
129,343,Greenwood St at 192 Greenwood,,42.224789,-71.795098,,,,,,0
130,344,Greenwood St at Upland,,42.223878,-71.796104,,,,,,0
131,1036,Upland St at Emmanuel,,42.223679,-71.797237,,,,,,0
132,1037,Upland St at Mallard,,42.223412,-71.799605,,,,,,0
133,1038,Upland St at Upland Garden,,42.224161,-71.804614,,,,,,0
134,1033,Upland Garden Dr at 10 Upland Garden,,42.223088,-71.804868,,,,,,0
