stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_1201,1201,Plantation at 630 Plantation,,42.2920757,-71.7600903,,0,1_1201,,3
0_3621,3621,Cambridge St + Freeland St,,42.2436999,-71.82459,,0,1_3621,,3
0_1200,1200,North Lake + 425 North Lake,,42.2943501,-71.7588199,,0,1_1200,,3
0_3629,3629,Main (Southbridge) + Sayles IB,,42.0804751,-72.0430779,,0,1_3629,,3
0_1208,1208,Goddard Dr at Coppage Dr,,42.2587199,-71.8663999,,0,1_1208,,3
0_3628,3628,Southbridge + Hamilton St,,42.0806143,-72.0440289,,0,1_3628,,3
0_1207,1207,Lincoln St + 640 Lincoln St,,42.2978,-71.7645401,,0,1_1207,,3
0_3627,3627,Main (Southbridge) + Pine OB,,42.0778583,-72.038543,,0,1_3627,,3
0_3615,3615,Park Ave + Beaver Brook Pkway,Comment,42.24983,-71.83136,,0,1_Laksid,,3
0_8510,8510,Brookfield Center,Comment,42.2148426,-72.1006973,,0,1_BrkFld,,3
0_2018,2018,Walmart Northbridge,Comment,42.107026,-71.7006026,,0,1_WalNor,,3
0_572,572,Mechanic Hall,,42.2655629,-71.801243,,0,1_572,,3
0_1214,1214,Seabury Heights,Comment,42.2722711,-71.7815499,,0,1_SburyH,,3
0_3631,3631,Worcester Senior Center,Comment,42.2478601,-71.7929898,,0,1_WSnCtr,,3
0_1234,1234,70 James St,,42.23241,-71.8497298,,0,1_James,,3
0_811,811,Newton Square,Comment,42.2667141,-71.8236557,,0,1_NwtSq,,3
0_1252,1252,Worc Recov Ctr,Comment,42.278416,-71.7695437,,0,1_WRCtr,,3
0_1250,1250,Mount Carmel,,42.2627355,-71.7921458,,0,1_MtCa,,3
0_4510,4510,White City Plaza,,42.2745978,-71.7501419,,0,1_4510,,3
0_843,843,1341 Pleasant St,,42.2809901,-71.8748401,,0,1_843,,3
0_6501,6501,Entering Oxford,,42.079923,-71.8695112,,0,1_6501,,3
0_6505,6505,Walmart,,42.1720861,-71.8801761,,0,1_6505,,3
0_6530,6530,Oxford Center,Comment,42.1182866,-71.864642,,0,1_Oxfrd,,3
0_410,410,Hamilton St at Dana,,42.2564864,-71.7743468,,0,1_410,,3
0_8705,8705,Court House,,42.2314909,-72.030657,,0,1_8705,,3
0_8730,8730,East Brookfield,Comment,42.2262001,-72.05016,,0,1_EBrkfd,,3
0_3057,3057,QCC Upper Campus,,42.314932,-71.792828,,0,1_3057,,3
0_6575,6575,Oxford Center,Comment,42.1178401,-71.8645511,,0,1_Oxfrd,,3
0_486,486,93 June St,,42.2655299,-71.8316701,,0,1_486,,3
0_7000,7000,Entering Webster,,42.0796851,-71.869566,,0,1_7000,,3
0_9005,9005,YMCA Shore Dr.,Comment,42.3037663,-71.8112021,,0,1_ShoYmc,,3
0_9057,9057,69 Tacoma St,,42.30421,-71.7675799,,0,1_9057,,3
0_3502,3502,Coppage Drive,Comment,42.2616238,-71.8701963,,0,1_CopDrv,,3
0_9067,9067,1351 Pleasant St,,42.2814899,-71.87623,,0,1_9067,,3
0_9062,9062,24 Holcombe St,,42.2464099,-71.7892301,,0,1_9062,,3
0_9064,9064,23 Granite St,,42.24707,-71.7892998,,0,1_9064,,3
0_9073,9073,204 Auburn St,,42.2142199,-71.84486,,0,1_9073,,3
0_3527,3527,Summer and MLK,,42.2659699,-71.7956049,,0,1_3527,,3
0_3522,3522,Julio Drive Shrewsbury,Comment,42.291201,-71.7021903,,0,1_JulioD,,3
0_3558,3558,48 Elm St,,42.2652147,-71.8061438,,0,1_3558,,3
0_1153,1153,The Fairways Apts,Comment,42.318095,-71.778753,,0,1_TheFai,,3
0_1152,1152,South High School,Comment,42.2440457,-71.863284,,0,1_South,,3
0_1150,1150,Worc Recov Ctr,Comment,42.2783887,-71.769194,,0,1_StaHos,,3
0_1149,1149,UMASS Medical Center,Comment,42.2757883,-71.761459,,0,1_UMASS,,3
0_1144,1144,Walmart Route 146,Comment,42.2317479,-71.7899579,,0,1_Walmar,,3
0_1155,1155,100 Century,,42.3140474,-71.7699643,,0,1_1155,,3
0_1171,1171,242 Pleasant St,,42.2672901,-71.8240499,,0,1_1171,,3
0_2028,2028,Senior Center,Comment,42.12266,-71.64842,,0,1_SenCtr,,3
0_2027,2027,Senior Center,Comment,42.12266,-71.64842,,0,1_SenCtr,,3
0_7505,7505,Boat Dealership,,42.2425949,-71.8678901,,0,1_7505,,3
